Date,Miles
2/5/19,60
2/6/19,99
2/8/19,20
2/9/19,82
2/10/19,74
2/12/19,39
2/14/19,34
2/15/19,18
2/16/19,46
2/18/19,2
2/23/19,23
2/23/19,2
2/24/19,32
2/24/19,22
2/25/19,87
2/28/19,14
3/1/19,94
3/2/19,97
3/4/19,78
3/5/19,57
3/6/19,45
3/6/19,55
3/8/19,67
3/9/19,76
3/10/19,97
3/10/19,68
3/10/19,12
3/11/19,82
3/12/19,47
3/13/19,93
3/15/19,57
3/16/19,64
3/16/19,68
3/16/19,43
3/16/19,100
3/19/19,67
3/19/19,67
3/20/19,46
3/20/19,38
3/20/19,98
3/20/19,73
3/21/19,16
3/23/19,81
3/23/19,13
3/23/19,92
3/23/19,11
3/24/19,45
3/24/19,12
3/25/19,71
3/26/19,1
3/26/19,48
3/28/19,66
3/28/19,64
4/1/19,93
4/1/19,95
4/2/19,94
4/2/19,87
4/3/19,87
4/3/19,4
4/8/19,13
4/9/19,58
4/9/19,35
4/11/19,6
4/13/19,73
4/13/19,52
4/16/19,37
4/18/19,3
4/18/19,2
4/18/19,77
4/19/19,61
4/19/19,17
4/20/19,3
4/21/19,96
4/24/19,83
4/26/19,93
4/26/19,84
4/27/19,61
4/30/19,56
4/30/19,99
5/1/19,7
5/3/19,96
5/4/19,60
5/4/19,82
5/5/19,1
5/6/19,59
5/8/19,45
5/8/19,92
5/8/19,66
5/8/19,72
5/9/19,72
5/9/19,20
5/9/19,82
5/9/19,41
5/10/19,36
5/10/19,76
5/10/19,82
5/11/19,43
5/12/19,21
5/13/19,15
5/16/19,3
5/16/19,99
5/18/19,4
5/19/19,59
5/19/19,55
5/19/19,99
5/20/19,56
5/21/19,58
5/22/19,41
5/24/19,78
5/26/19,48
5/27/19,5
5/28/19,88
5/29/19,15
5/30/19,30
5/30/19,94
5/31/19,89
5/31/19,54
6/1/19,33
6/1/19,55
6/1/19,43
6/3/19,82
6/3/19,16
